frame,gt_count,pred_count,tp,fp,fn,id_switches,mean_risk_score,max_risk_score,medium_or_high_risk_detections
186,2,4,2,2,0,0,0.3812417113311687,0.4273011333232144,0
187,2,4,2,2,0,0,0.38093883343042906,0.4032139935782454,0
188,2,4,2,2,0,0,0.3537318328559683,0.3981652931416243,0
189,2,4,2,2,0,0,0.3766545838097723,0.4363667478581952,0
190,2,5,2,3,0,0,0.37285623803997137,0.429411535736712,0
191,2,5,2,3,0,0,0.39022123578958556,0.4813044201841802,2
192,2,4,2,2,0,0,0.38983570460970635,0.5155898630898225,1
193,2,4,2,2,0,0,0.37262267742171784,0.4163271964589214,0
194,1,4,1,3,0,0,0.38327453307323267,0.4666976397020731,1
195,2,4,1,3,1,0,0.41172049699243235,0.5045315157649621,2
196,2,3,1,2,1,0,0.40145416068712336,0.5416619277589577,1
197,2,2,1,1,1,0,0.33587164491039606,0.3797377849450783,0
198,2,2,1,1,1,0,0.34943619836128964,0.3943177550927069,0
199,2,2,1,1,1,0,0.32915669722669194,0.3541446572530917,0
200,2,3,1,2,1,0,0.3817910470364696,0.4575107995507096,1
201,2,2,1,1,1,0,0.3235892662014934,0.3389284472994742,0
202,2,3,2,1,0,0,0.3347163843970529,0.3664193346934104,0
203,2,3,2,1,0,0,0.31478359338161144,0.3666916004008076,0
204,2,3,2,1,0,0,0.3130685746632856,0.3680490099023679,0
205,2,3,2,1,0,0,0.31108832581946894,0.3572358679987271,0
206,2,3,2,1,0,0,0.34850616864500833,0.4297685402915702,0
207,2,3,2,1,0,0,0.33806541186790134,0.3907863499013153,0
208,2,3,2,1,0,0,0.34694536807671145,0.379056651588213,0
209,3,3,2,1,1,0,0.35972248802250456,0.3842838059480448,0
210,4,4,3,1,1,0,0.3850509912363821,0.4429293293306277,0
211,4,4,2,2,2,0,0.3685174326251866,0.4235989991900687,0
212,4,4,2,2,2,0,0.3735611380891546,0.4160013328298934,0
213,4,4,2,2,2,0,0.3895255441578279,0.4228891281811742,0
214,4,4,2,2,2,0,0.38597643741439225,0.4353776860137659,0
215,4,4,2,2,2,0,0.39651795046974264,0.4410602647780869,0
216,4,5,2,3,2,0,0.43060196327203304,0.507590447404786,2
217,5,4,2,2,3,0,0.3834484899166362,0.4202615214462993,0
218,5,4,3,1,2,0,0.3853003049962285,0.4265936457543317,0
219,5,4,3,1,2,0,0.3783884918357946,0.4471303710593908,0
220,6,4,3,1,3,0,0.3855779616576228,0.4617088242972095,1
221,7,5,4,1,3,0,0.4098556505420552,0.5507047863252211,2
222,7,4,2,2,5,0,0.3758456749549021,0.445672551464909,0
223,7,4,2,2,5,0,0.371973642304868,0.4420592491064797,0
224,7,5,2,3,5,0,0.4324378342877623,0.5711535041078091,2
225,8,4,2,2,6,0,0.392414713604285,0.5024089233667751,2
226,8,5,2,3,6,0,0.38025293484004685,0.4848269429179418,1
227,8,5,3,2,5,0,0.4003863356172993,0.5385994257407379,1
228,8,4,2,2,6,0,0.38538018300137866,0.4489388469083191,0
229,6,4,2,2,4,0,0.3678572897163447,0.4064335287330388,0
230,8,5,3,2,5,0,0.3142668694049153,0.3916072174818871,0
231,8,7,5,2,3,1,0.3338661266955253,0.4309426223748571,0
232,8,6,4,2,4,0,0.3307377725920165,0.4237203910218307,0
233,8,7,5,2,3,1,0.334601601252322,0.4614381735228253,1
234,8,7,5,2,3,0,0.3620376545310066,0.4777327385776229,1
235,9,5,4,1,5,0,0.37205852523454064,0.4218544616048377,0
236,9,5,4,1,5,0,0.41562030354106155,0.5484002710524263,1
237,9,4,4,0,5,0,0.40125341782320645,0.5044518829465954,1
238,9,5,5,0,4,0,0.4008225062376087,0.5073876399987287,1
239,9,5,5,0,4,0,0.38120416766501275,0.5084342604012713,1
240,9,5,5,0,4,0,0.3672278496488757,0.4190915058545761,0
241,9,5,5,0,4,0,0.37657359445122285,0.4024429842370829,0
242,9,5,5,0,4,0,0.3641747041644164,0.4275674535801305,0
243,8,6,5,1,3,0,0.39069555749804036,0.5173265262205315,2
244,8,4,4,0,4,0,0.33624097222377003,0.3690149087247915,0
