sequence,track_id,class_name,frames,first_frame,last_frame,mean_confidence,min_confidence,mean_area,max_center_jump_per_frame_px,mean_low_confidence_risk,mean_small_box_risk,mean_border_risk,mean_motion_jump_risk,mean_short_track_risk,mean_risk_score,max_risk_score,risk_rank,risk_level,id_switch_events,pred_detections,unmatched_detections,gap_count,has_id_switch,is_short_track,is_fragmented,unmatched_detection_rate
1,1041,car,5,313,319,0.5023054838180542,0.422213464975357,760.0742716316137,8.236808400516408,0.4976945161819458,0.9950939989032744,0.0,0.0754459220596237,0.2,0.3723039093410473,0.3943599967963122,73,low,0,5,5,2,False,False,True,1.0
1,331,car,13,98,112,0.6843717694282532,0.504930317401886,10487.003847382675,39.583224796082526,0.3156282305717468,0.9063847305812658,0.1538461538461538,0.3058429435340125,0.0769230769230769,0.3712601242580776,0.4636398614724756,74,low,0,13,4,2,False,False,True,0.3076923076923077
1,942,car,7,285,294,0.4586760316576276,0.3205183446407318,508.5873427175512,9.260766003887046,0.5413239683423724,0.997387551178201,0.0,0.0599239500468279,0.1428571428571428,0.3712180612615117,0.4067234961003849,75,low,0,7,7,3,False,False,True,1.0
1,929,car,6,281,327,0.4567473779122035,0.3006933629512787,510.2504414337059,9.143089916446671,0.5432526220877966,0.9973723837742318,0.0,0.0347347549067622,0.1666666666666666,0.368971321003486,0.4033120203607153,76,low,1,6,4,41,True,False,True,0.6666666666666666
1,215,car,10,69,78,0.5763482123613357,0.4685280621051788,4041.5754937522106,25.97364201225018,0.4236517876386642,0.9651668188877228,0.0,0.2190450748762917,0.1,0.3687075794062835,0.4111069914934401,77,low,0,10,10,0,False,False,False,1.0
1,536,car,21,161,182,0.7621580007530394,0.4458805620670318,7502.0296613065775,31.67969412067985,0.2378419992469606,0.9336075940701738,0.5238095238095238,0.1425284193410044,0.0476190476190476,0.3675284091753117,0.4455289057847121,78,low,0,21,10,1,False,False,True,0.47619047619047616
1,101,car,12,30,44,0.4221706961592038,0.3140450119972229,795.6049291783711,5.836644273142431,0.5778293038407961,0.9947699605097168,0.0,0.0449499304333923,0.0833333333333333,0.3671488006704905,0.386968123197103,79,low,0,12,12,3,False,False,True,1.0
1,217,car,9,70,78,0.8855653471416898,0.8074551820755005,20928.70199059152,45.66765546556908,0.1144346528583102,0.8111567971301478,0.3333333333333333,0.4170425764247809,0.1111111111111111,0.361767333413469,0.4207137319087407,80,low,0,9,0,0,False,False,False,0.0
1,1189,car,19,358,380,0.4314298268995787,0.3215336203575134,1092.9261925346952,5.116581093306433,0.5685701731004213,0.9920584006568866,0.0,0.0462378756168839,0.0526315789473684,0.3600084291528089,0.3943038330783938,81,low,0,19,19,4,False,False,True,1.0
1,206,car,12,66,77,0.7417707964777946,0.4391463100910187,19382.440856033976,38.607321092807744,0.2582292035222053,0.8252586463121666,0.25,0.3208697540402774,0.0833333333333333,0.359826468653054,0.4756558056259831,82,low,1,12,0,0,True,False,False,0.0
1,921,car,4,278,286,0.5194854065775871,0.4007200300693512,1318.946343092946,2.4726212673816206,0.4805145934224129,0.9899971045381156,0.0,0.016399532609754,0.25,0.3597279524156649,0.3852885591251404,83,low,0,4,2,5,False,False,True,0.5
1,1030,car,7,309,315,0.5106813311576843,0.3749141991138458,2331.8509994193114,10.9175248413255,0.4893186688423157,0.9807594483750988,0.0,0.0769448615679401,0.1428571428571428,0.3591463437061551,0.3905890233644649,84,low,2,7,5,0,True,False,False,0.7142857142857143
1,1018,car,7,306,323,0.4991757784570966,0.290841281414032,688.8847882034524,8.471844890124958,0.5008242215429034,0.9957432445812608,0.0,0.0512930879200714,0.1428571428571428,0.3586065477105672,0.3999716432435315,85,low,0,7,7,11,False,False,True,1.0
1,148,car,20,44,67,0.6952765494585037,0.4314727187156677,9229.4764493484,43.0037992923769,0.3047234505414963,0.9178533378643492,0.15,0.2753121451170939,0.05,0.3585795664875174,0.4667905687440253,86,low,2,20,1,4,True,False,True,0.05
1,439,car,18,137,154,0.7790936099158393,0.5555564761161804,15060.18733478292,45.40712551803306,0.2209063900841607,0.8646774520500297,0.2777777777777778,0.3127578549879447,0.0555555555555555,0.3563515516780323,0.44019962831768,88,low,1,18,0,0,True,False,False,0.0
1,556,car,63,165,227,0.6483326984776391,0.3190938234329223,3876.2127792501674,65.5565192255571,0.3516673015223609,0.9666749212438648,0.0158730158730158,0.2803613058498551,0.0158730158730158,0.3561040408537317,0.5385994257407379,89,low,0,63,7,0,False,False,False,0.1111111111111111
1,343,car,17,100,116,0.4573937251287348,0.2814977467060089,777.1598843202433,7.075447739735018,0.5426062748712652,0.9949381786941696,0.0,0.0505145698139105,0.0588235294117647,0.3560913763218926,0.4023665327291383,90,low,0,17,9,0,False,False,False,0.5294117647058824
1,122,car,19,37,55,0.7282826665200686,0.406661719083786,11786.547547927195,43.81755156664294,0.2717173334799315,0.8945329360421984,0.1578947368421052,0.3099694126667133,0.0526315789473684,0.3559072211135219,0.4321908291809224,91,low,0,19,0,0,False,False,False,0.0
